vehicle_count,strategy,replicates,success_rate_mean,success_rate_sample_std,success_rate_ci95,avg_success_latency_s_mean,avg_success_latency_s_sample_std,avg_success_latency_s_ci95,avg_latency_s_mean,avg_latency_s_sample_std,avg_latency_s_ci95,avg_energy_j_mean,avg_energy_j_sample_std,avg_energy_j_ci95,avg_cost_per_task_mean,avg_cost_per_task_sample_std,avg_cost_per_task_ci95,avg_reward_mean,avg_reward_sample_std,avg_reward_ci95,local_offload_ratio_mean,local_offload_ratio_sample_std,local_offload_ratio_ci95,v2v_offload_ratio_mean,v2v_offload_ratio_sample_std,v2v_offload_ratio_ci95,v2i_offload_ratio_mean,v2i_offload_ratio_sample_std,v2i_offload_ratio_ci95,local_success_rate_mean,local_success_rate_sample_std,local_success_rate_ci95,v2v_success_rate_mean,v2v_success_rate_sample_std,v2v_success_rate_ci95,v2i_success_rate_mean,v2i_success_rate_sample_std,v2i_success_rate_ci95,oracle_success_rate_mean,oracle_success_rate_sample_std,oracle_success_rate_ci95,avoidable_failure_rate_mean,avoidable_failure_rate_sample_std,avoidable_failure_rate_ci95,avg_decision_regret_s_mean,avg_decision_regret_s_sample_std,avg_decision_regret_s_ci95,dqn_decision_ratio_mean,dqn_decision_ratio_sample_std,dqn_decision_ratio_ci95,hybrid_deviation_ratio_mean,hybrid_deviation_ratio_sample_std,hybrid_deviation_ratio_ci95,hybrid_beneficial_deviation_rate_mean,hybrid_beneficial_deviation_rate_sample_std,hybrid_beneficial_deviation_rate_ci95,avg_cloud_queue_length_mean,avg_cloud_queue_length_sample_std,avg_cloud_queue_length_ci95,max_predicted_cloud_capacity_ratio_mean,max_predicted_cloud_capacity_ratio_sample_std,max_predicted_cloud_capacity_ratio_ci95,v2v_latency_advantage_ratio_mean,v2v_latency_advantage_ratio_sample_std,v2v_latency_advantage_ratio_ci95,v2v_rescuable_task_ratio_mean,v2v_rescuable_task_ratio_sample_std,v2v_rescuable_task_ratio_ci95,queue_induced_local_timeout_ratio_mean,queue_induced_local_timeout_ratio_sample_std,queue_induced_local_timeout_ratio_ci95,wall_clock_s_mean,wall_clock_s_sample_std,wall_clock_s_ci95
1000,random,6,0.6995500780287619,0.0021556074193068383,0.002262171396088634,1.0991739665774112,0.0017685946432824458,0.0018560263698645353,2.3793842375577046,0.07829746106232739,0.08216815140602755,100.79224932330855,0.09855933390617384,0.10343168425899647,0.15113237000207547,0.00037871364843911526,0.00039743562539918363,-49.785655203753116,0.7942173936774509,0.8334800920433518,0.33387136184000127,0.0012408995029626947,0.0013022442472041022,0.3321057967932087,0.0010313518609961273,0.001082337469407326,0.33402284136679006,0.0008612074869505375,0.0009037818879392002,0.670486291415827,0.0031528471812336985,0.0033087104106920458,0.4265870339852898,0.0037804377763267943,0.003967326390558349,1.0,0.0,0.0,1.0,0.0,0.0,0.3004499219712381,0.0021556074193068643,0.0022621713960886613,2.0106059612384755,0.07863039493580207,0.08251754410092077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.3826023775449004,0.002453826040080526,0.0025751326652199923,0.18880443466224886,0.0021483084541568213,0.0022545116014360783,0.26653892732583356,0.0023833908511076973,0.002501215462882812,41.59518646666402,10.793634918652321,11.327225891925327
1000,greedy,6,0.9445939035722358,0.07382131833758673,0.07747072740106907,0.6973915148412324,0.13009327823864436,0.13652453142395235,0.8295358457220491,0.3060171551537804,0.32114532957207265,12.246785097145983,3.728634301446471,3.912961974272406,0.32245610693108157,0.023772529421984122,0.024947741221071122,13.310947853955591,18.28514790235101,19.1890871164517,0.035458686161051405,0.04677070912703414,0.049082852199488436,5.7505924038651496e-05,9.05893555237859e-05,9.506770436052297e-05,0.96448380791491,0.046859164594140024,0.049175680525148466,0.99989296112348,0.0002621906301146599,0.00027515220928241374,0.5,0.5477225575051661,0.5747996093737364,0.9392560311463676,0.08201184966383059,0.08606616343410832,0.9999652481085765,8.296608842551519e-05,8.706757566362092e-05,0.05537134453634065,0.07376205388662065,0.07740853317006968,0.3782262943072286,0.19858887269231276,0.20840625401562982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.969529742318884,2.283033168502275,2.3958965272851924,0.9616666666666668,0.7077122767528247,0.742698533504683,0.0013652633409169696,0.002285865926281331,0.0023988693244478077,0.00013996235339778728,0.00026383312723722227,0.0002768759044114708,0.0004589677771141916,0.0008093286082237633,0.0008493383401643471,34.73884993333195,9.493247445004604,9.96255284414756
1000,dqn,6,0.9423729742957679,0.10234196676018709,0.10740131424245862,0.6884133427441602,0.11106927516855501,0.11656006331217664,0.8621495555575089,0.3967112307951011,0.4163229309631776,18.19745858913298,10.5077166432541,11.027173044439378,0.3035334851533444,0.045239143547060934,0.047475572592256716,12.659447007145026,25.14495055141807,26.388008959336503,0.08915940379146975,0.11958885732123732,0.12550081703189733,2.2267764729465403e-05,4.818811706919098e-05,5.0570330705369216e-05,0.9108183284438008,0.11958291263949881,0.1254945784706142,0.8333333333333334,0.408248290463863,0.4284303333333333,0.3333333333333333,0.5163977794943223,0.541926268815397,0.9395995826906418,0.10731051644554487,0.11261548769426268,0.9984247068479443,0.0034642620756021856,0.003635520320533091,0.05605173255217626,0.09893619519746948,0.10382717595466719,0.40715606389056885,0.25372179672665984,0.2662647131284366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7561350279399837,2.408790050738716,2.5278702899047527,0.945,0.9038307363660522,0.9485122478240879,0.011419994717164554,0.018815465843968485,0.01974562170044632,0.0022735524182505864,0.003973859832310982,0.004170310402628962,0.004798010149448945,0.008125014805434679,0.00852668065670388,43.71366488333297,10.644727567934272,11.170957201047454
1000,stackelberg,6,0.9998956991782909,0.0002554837929402761,0.0002681138148705992,0.6733843306605968,0.017709912500454818,0.018585414545772963,0.6735701644669878,0.01808175817272838,0.01897564267174921,39.678600780273875,0.1667595950816037,0.1750034735630259,2.3354795093819853,0.0045472248109071495,0.004772020084309454,23.458007732162326,0.12393165080033627,0.1300582995769783,0.33976250449857903,0.0016921156163505697,0.001775766548165826,0.0,0.0,0.0,0.660237495501421,0.0016921156163505326,0.0017757665481657869,1.0,0.0,0.0,0.0,0.0,0.0,0.9998415934323259,0.00038801526270704353,0.00040719707154466194,1.0,0.0,0.0,0.00010430082170908233,0.0002554837929402542,0.0002681138148705763,0.15331162143698362,0.015721452123278364,0.016498653224014916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418331700247826,0.2648263231641556,0.27791819968123876,1.4516666666666669,0.2368473488698294,0.24855606501161664,0.029577019187605278,0.00040265584450963933,0.00042256142085951917,0.0034230049404039534,7.8005588183572e-05,8.186184958515758e-05,0.010407789246533471,0.00017861737608779253,0.0001874474523566734,73.01934561666712,13.090954739787067,13.7381153426165
1000,hybrid_stackelberg,6,0.9998984040266974,0.0001577190405012045,0.00016551599277529812,0.7711657277903058,0.23931133624512155,0.2511418613448385,0.7713274338856705,0.2392594503938756,0.2510874104798531,39.751326338175964,36.05523835347201,37.837654552427665,2.265806766351669,0.9040406218916209,0.9487325091890016,23.14509055932704,0.33508255599715686,0.3516475990552978,0.2807870046891171,0.29564002207555906,0.31025519558352566,0.0008126968947498359,0.00153413024514797,0.0016099710584426138,0.7184002984161331,0.2968447665683263,0.3115194974720438,1.0,0.0,0.0,0.33100980609213854,0.5128009466587493,0.5381516240056468,0.9998961907056695,0.00018180294890573733,0.00019079050621906426,1.0,0.0,0.0,0.00010159597330264613,0.00015771904050122215,0.0001655159927753166,0.24998480501633594,0.24929895188459775,0.2616232218246683,0.354730890540133,0.13584035767527047,0.142555721795697,0.354730890540133,0.13584035767527047,0.142555721795697,0.05074298227298032,0.052024886644902596,0.05459677369764139,1.2882468630293396,0.5060774920326223,0.5310957906466137,1.4223386120783257,0.8205440135143769,0.8611081869447621,0.05840641680580467,0.08590602585315489,0.09015285097652345,0.012144397668266782,0.018377947879434732,0.019286474726011874,0.026678856700120105,0.03991652961887473,0.04188983148145759,121.30034840000492,19.1293362279801,20.075008488797028
2000,random,6,0.5588895134524927,0.024743708862862417,0.025966931604230355,1.2873807280431995,0.028471932628451223,0.02987946274751473,18.35414827901065,11.666345322700009,12.243079351800905,100.69699339603608,0.09180994151529948,0.09634863088347786,0.21523613214075935,0.011208597810123618,0.0117627027673141,-146.98712358267622,52.96751947334392,55.58600624639547,0.33379725651060044,0.000496478311472488,0.0005210220678088955,0.3328894865396036,0.00037282031634657936,0.00039125095226808404,0.333313256949796,0.0004802185489913879,0.0005039584924739362,0.666735634604611,0.0005874176912209673,0.0006164571000891258,0.4156034859785553,0.0011488773084446053,0.0012056728704405793,0.5940304761929149,0.07395416617396995,0.07761014266416695,0.9457135835572322,0.01099903698395556,0.011542782153545511,0.38682407010473946,0.013890042572632344,0.014576706647431327,17.445074674103275,11.566706112106479,12.138514406387042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.54014655099834,174.37557107310784,182.99595071214358,140.73833333333334,73.69603175657878,77.33924718935174,0.38775263109106267,0.000823665666286488,0.0008643841608286623,0.19401688457131314,0.0006219744841757661,0.0006527222325352001,0.2710311328023884,0.0009009192707974834,0.000945456851896739,316.61649315000005,56.91465599176361,59.72827224921762
2000,greedy,6,0.6882199912452874,0.010802345649493375,0.01133636724390397,1.3268924921958138,0.028764240127483437,0.030186220674422178,2.614817425847787,0.16675237699461654,0.17499589864480536,84.1888298543321,4.213063098795796,4.421338851708488,0.23234037318659181,0.006551010706192719,0.006874864551999438,-53.33328138004813,3.1789990596860758,3.336155125745021,0.46534156915846286,0.012675995364451086,0.013302642157185678,0.10764099477675367,0.01687895885937984,0.017713382123969564,0.42701743606478343,0.029444389603693878,0.03089999382085284,0.9356058936539245,0.002342222393086844,0.002458011813033714,0.5270201430644426,0.02807620047220632,0.029464167292344346,0.4583335243959359,0.03323942519545775,0.034882639680175014,0.9480823183706694,0.005837447326264022,0.00612602566189667,0.2598623271253819,0.005317031685284796,0.005579882905773247,1.4182518412688203,0.1298469609218424,0.13626603723644862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.346375275484814,1.7835308358830513,1.8717009437061976,6.043333333333333,0.5689874046643448,0.5971156992864161,0.20531621819924964,0.017422899740527974,0.01828421310714192,0.06509400315836762,0.008447447707973661,0.00886505325773903,0.10942937225281985,0.012106729716087743,0.012705234459026285,303.0835826999998,60.714987575181034,63.71647591128498
2000,dqn,6,0.9444855451511893,0.020157737162604893,0.021154249150701552,1.2624567674143772,0.045185438880509,0.04741921299754474,1.3812965556804981,0.06123003135729801,0.06425698124690542,87.15983133812172,5.056121303914189,5.3060742352366805,0.17729060531731347,0.016887409106778543,0.017722250115322722,10.683000203788025,4.842171848964195,5.081548037719573,0.5991396148208662,0.0465254263104776,0.04882544365348116,0.045125885715267385,0.01849200503455672,0.019406170377235406,0.3557344994638664,0.040119186672383046,0.04210250702968406,0.9944182521472396,0.007785638252720032,0.00817052678416752,0.809167603608571,0.06436209609477758,0.06754388181904322,0.8783572824351341,0.03563921781928408,0.03740106774900681,0.9952693588203139,0.0054783466778097955,0.005749172619002964,0.05078381366912452,0.014951426180005811,0.015690560503830515,0.7308877096069187,0.06031998835469151,0.06330194962506723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.923729793072132,1.2430751203391424,1.3045274177637098,2.8833333333333333,0.6522780593172414,0.6845238863383364,0.19293693038124152,0.018996471695409228,0.019935575704123663,0.044204581836043616,0.005914529292514848,0.006206918229645839,0.08694999967023931,0.009843589477519002,0.010330214282730135,346.4141656000017,73.30063035275529,76.92429883758255
2000,stackelberg,6,0.9286105076749118,0.003907053360486263,0.0041002013056376015,1.2575506381597046,0.03503596984733435,0.03676799778706913,1.4233035822194984,0.039276113370216886,0.04121775580277487,92.39465955176509,3.840125772164839,4.029965104669892,1.2099147608454708,0.06668854480907387,0.06998534017032342,5.278521939574452,0.9587824622371679,1.0061805511143573,0.6259365509671998,0.01855806772248194,0.019475498920844343,0.04158548016694582,0.007629916338108591,0.008007106646612309,0.33247796886585435,0.025910802300080596,0.027191721130649184,0.9784376589828668,0.0027296190492524072,0.0028645596967851648,0.8036920495874713,0.020219196071412513,0.021218746324117355,0.8506082952712838,0.007370517363229138,0.007734884100015346,0.9847983799673546,0.0023904602088605635,0.002508634299334207,0.05699269466559221,0.0025863142157937493,0.002714170487568365,0.35661444718951674,0.01481834318382891,0.015550898455648306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.828500092550922,0.18417302828809606,0.19327775215132934,4.84,0.3593883693165376,0.37715498744026354,0.19494475947105028,0.013386569600062992,0.014048344132509036,0.047493122605879706,0.004483871462393884,0.004705534818221796,0.09609142848676079,0.008083871912450948,0.00848350383571759,449.75741126666736,65.87733879063511,69.13403160884278
2000,hybrid_stackelberg,6,0.9696569902387457,0.03083223086372254,0.032356443994770875,1.2036940985154574,0.056037581496385644,0.05880783895607145,1.2987048537029298,0.12818262575743153,0.13451942448650483,91.74263451876818,4.187791174629606,4.394817592103963,0.38169574481674484,0.2863739970443486,0.30053109805384376,16.493411328391257,7.909496641976884,8.300508200464815,0.6326114759394585,0.034325228993205864,0.03602212095632503,0.060974271565585964,0.02044077495579968,0.021451279117309846,0.3064142524949555,0.024370385494206462,0.02557515273090633,0.9950490123549735,0.007354985272289959,0.007718584169179445,0.7965532172502807,0.040056236801869545,0.042036445187816344,0.9523936350707233,0.06610544725267625,0.06937341677397696,0.9966090277071539,0.0049931533968982115,0.005239993465219236,0.026964172186424804,0.025908840291258135,0.02718966212853345,0.6761839474117685,0.04918406937659592,0.05161551861922618,0.6008948538223072,0.11562388033172458,0.12133982860168048,0.6008948538223072,0.11562388033172458,0.12133982860168048,0.0009734532992820266,0.0006626144864756637,0.0006953713020811602,5.573283956526069,1.5365717488716757,1.6125332596290372,2.611666666666667,0.7054194969425402,0.7402924085034884,0.1737278189301593,0.020322163700926606,0.0213268042311943,0.0430101765190529,0.008189391783958843,0.00859424015667573,0.09155123847344931,0.013269925819064601,0.013925933983730166,591.9704352333307,62.07024456511401,65.13873098867816
