vehicle_count,comparison,replicates,success_rate_mean_delta,success_rate_sample_std,success_rate_ci95,avg_success_latency_s_mean_delta,avg_success_latency_s_sample_std,avg_success_latency_s_ci95,avg_energy_j_mean_delta,avg_energy_j_sample_std,avg_energy_j_ci95,avg_cost_per_task_mean_delta,avg_cost_per_task_sample_std,avg_cost_per_task_ci95,avg_reward_mean_delta,avg_reward_sample_std,avg_reward_ci95
1000,hybrid_stackelberg-minus-random,6,0.30034832599793543,0.0021466532444682795,0.002252774565286355,-0.3280082387871052,0.23937017793179424,0.2512036119118928,-61.04092298513259,36.05706891449261,37.83957560852652,2.114674396349594,0.9039217026149399,0.9486077110538023,72.93074576308015,1.0014958490381756,1.0510055043901168
1000,hybrid_stackelberg-minus-greedy,6,0.05530450045446154,0.07374777613138367,0.07739354958390823,0.07377421294907338,0.2381159250881999,0.2498873541922221,27.50454124102998,34.985968159513966,36.7155242304603,1.9433506594205878,0.9097319447710305,0.9547051866387042,9.83414270537145,18.356993589645413,19.2644845460922
1000,hybrid_stackelberg-minus-dqn,6,0.05752542973092939,0.10218540235412318,0.10723700996429036,0.08275238504614556,0.2411822281990547,0.25310524216522967,21.55386774904298,33.95775960100815,35.6364854549242,1.962273281198325,0.8821873348601481,0.9257988894629157,10.485643552182017,24.958143981835843,26.191967474915263
1000,hybrid_stackelberg-minus-stackelberg,6,2.7048484064577196e-06,0.0003382954388071235,0.00035501931299847424,0.09778139712970896,0.23265809987204583,0.2441597175278405,0.0727255579020909,35.971873609500484,37.75016861339927,-0.06967274303031597,0.9014621021635855,0.9460265185152047,-0.31291717283528203,0.41691142216888255,0.43752173307900016
2000,hybrid_stackelberg-minus-random,6,0.410767476786253,0.03429955240050817,0.03599517502311405,-0.0836866295277422,0.03839540008002723,0.04029350382842288,-8.954358877267879,4.227426396313289,4.436412208993569,0.1664596126759855,0.2854175739665103,0.29952739352496405,163.48053491106748,52.03824352266694,54.6107908821013
2000,hybrid_stackelberg-minus-greedy,6,0.28143699899345825,0.02887553624139816,0.03030301879041431,-0.1231983936803565,0.04390294462327252,0.04607331772998195,7.553804664436103,3.002890463211932,3.151340476295897,0.14935537163015306,0.28650546016261697,0.3006690601443077,69.82669270843938,7.349148478870058,7.712458829750234
2000,hybrid_stackelberg-minus-dqn,6,0.025171445087556383,0.039347838991000625,0.04129302723033187,-0.05876266889891979,0.04158430835017597,0.043640058033455574,4.582803180646465,2.942903821742196,3.0883883527947185,0.2044051394994314,0.28957849030764804,0.30389400770718206,5.81041112460323,9.803598958512993,10.28824680414388
2000,hybrid_stackelberg-minus-stackelberg,6,0.041046482563833975,0.034180359777019075,0.03587009002801392,-0.05385653964424727,0.03748589310561417,0.039339034733710844,-0.6520250329968936,3.0529440649044877,3.203868513175879,-0.828219016028726,0.2935173533212575,0.3080275911986343,11.214889388816802,8.696517086472642,9.126435557055455
4000,hybrid_stackelberg-minus-random,6,0.45003803312901614,0.01566505117895595,0.01643946405913461,-0.05321087758222617,0.013730555988424934,0.014409335731177057,20.367749760416498,0.9905384144461075,1.0395063812721146,0.08852155633046717,0.13750964260961374,0.14430752901094926,2756.782940972311,141.31735561244648,148.3034789981194
4000,hybrid_stackelberg-minus-greedy,6,0.234292064324914,0.014551605356537663,0.015270974255282023,-0.002047919334273803,0.013231616810404074,0.013885731142142144,2.2939035407059243,0.722602324288255,0.7583246810672489,0.18782890330666976,0.1379214483374389,0.14473969264607497,66.85315021585875,4.070120222554463,4.271329493319954
4000,hybrid_stackelberg-minus-dqn,6,0.005580049350538259,0.012845618495314255,0.01348065072744614,-0.046452585749425936,0.00670416747120843,0.007035592729975101,-1.1460496441333987,1.2671734052442203,1.3298170184204898,0.24170052113306947,0.13079511334534868,0.13726106224535203,1.5931959972620773,4.096766522325672,4.299293071759212
4000,hybrid_stackelberg-minus-stackelberg,6,0.12212094867405221,0.013332251376355226,0.013991340649009447,-0.00201346256655995,0.01268164869572714,0.013308574964890251,-3.8295423167230944,0.7861327212920834,0.8249957481627731,-0.336335411584393,0.14207294859672284,0.14909642525577554,36.65041862584994,3.8700174466347637,4.061334495200566
