vehicle_count,steps,seed,mode,tasks,analytical_success_rate,knative_success_rate,success_delta,analytical_v2i_ratio,knative_v2i_ratio,analytical_wall_s,knative_wall_s,serverless_delay_model,matched_task_records,action_change_rate,live_v2i_requests,live_v2i_failures,cold_start_flags,retried_requests,total_http_retries,retry_backoff_mean_ms,retry_backoff_max_ms,distinct_instances,client_latency_mean_ms,client_latency_p95_ms,client_latency_max_ms,dispatch_queue_mean_ms,dispatch_queue_p95_ms,dispatch_queue_max_ms,http_latency_mean_ms,http_latency_p95_ms,http_latency_max_ms,cold_client_latency_mean_ms,cold_client_latency_max_ms,warm_client_latency_p95_ms,processing_mean_ms,processing_p95_ms,physical_compute_mean_ms,physical_queue_mean_ms,scaled_processing_mean_ms,total_delay_mean_ms,delay_decomposition_max_error_ms,platform_overhead_mean_ms,platform_overhead_p95_ms,pod_samples,max_pods,max_ready_pods,pod_observation_s,pod_sample_errors
1000,2000,87,knative_replay,169396,0.9998701268034664,0.9987012680346643,-0.001168858768802128,0.9722248459231623,0.9722248459231623,155.65599999999995,488.78099999999995,physical_compute_queue_plus_platform_v1,156,0.0,164691,220,13,0,0,0.0,0.0,13,115.74761259935326,255.93010000011418,1509.8911999994016,53.55884736841769,154.82329999986177,207.25229999970907,58.910118421061654,115.23864999981015,237.70669999976235,0.0,1509.8911999994016,255.90775500072596,2.57111550655808,4.438145450149022,60.912245532175724,299.1264682792321,2.3945753501288825,729.2036254006533,9.094947017729282e-13,56.339002914503574,112.22884550033996,507,6,3,581.283937,0
1000,2000,87,knative_closed_loop,169396,0.9998701268034664,0.9999527733830788,8.264657961232214e-05,0.9722248459231623,0.9381213251788708,155.65599999999995,449.7029999999995,physical_compute_queue_plus_platform_v1,156,0.02564102564102564,158914,8,15,0,0,0.0,0.0,15,103.81605148130242,225.13503999966818,1853.3150000012029,47.90644133336173,131.68521499978854,172.75250000056985,54.19652266662524,106.27033499981738,143.12789999985398,0.0,1853.3150000012029,225.11595999976635,2.1851689599861857,3.508569599807739,61.81348417797987,269.337398751724,2.1834291291833625,692.6142446636281,4.547473508864641e-13,52.011353706639056,103.54425544965126,477,6,4,542.193469,0
1000,2000,88,knative_replay,169823,0.9999705575805398,0.9993287128363061,-0.0006418447442336772,0.9908021881606143,0.9908021881606143,154.9369999999999,485.40700000000015,physical_compute_queue_plus_platform_v1,152,0.0,168261,114,15,0,0,0.0,0.0,15,114.0082907340377,255.73529999928724,1668.8874999999825,61.13211920532291,153.03289999974368,220.03080000013142,64.18234701986695,115.15220000001136,220.84289999929752,0.0,1668.8874999999825,255.7294999999158,2.3789657350681224,4.329678999965836,60.271872207191635,319.24119212736167,2.28464080469615,759.9914912014011,4.547473508864641e-13,61.80338128479883,112.14607199963211,505,6,3,578.212911,0
1000,2000,88,knative_closed_loop,169823,0.9999705575805398,0.9999764460644318,5.888483892046992e-06,0.9908021881606143,0.9612419990225117,154.9369999999999,465.90599999999995,physical_compute_queue_plus_platform_v1,152,0.05263157894736842,163241,4,14,0,0,0.0,0.0,14,106.0384579002833,224.4485999999597,1240.2851999995619,54.038920979059235,130.53629999922123,213.2378999995126,62.45552377635618,107.19160000007832,173.02479999943898,190.80830000075366,1240.2851999995619,224.4436999993922,2.3141014056169946,3.7232938001579896,61.11728672347747,286.9315396180913,2.168756789256249,719.5708618734607,4.547473508864641e-13,60.141422370739186,104.56140899987076,491,6,3,558.199363,0
1000,2000,89,knative_replay,220516,0.9999954651816648,0.9999954651816648,0.0,0.34849171942171997,0.34849171942171997,187.18800000000056,351.2029999999995,physical_compute_queue_plus_platform_v1,224,0.0,76848,0,7,0,0,0.0,0.0,7,63.74929065168347,131.8523250010912,1403.1876000008197,14.278832499940108,53.672185000868836,50.78219999995781,43.76037125014136,88.10663500034931,109.32970000067144,0.0,1403.1876000008197,131.84499999988475,2.1836637375486134,3.0323602998578276,79.99399497028112,210.7913974860656,2.308148669985098,549.4128999097694,2.2737367544323206e-13,41.57670751259275,85.61032404904834,400,4,3,445.004383,0
1000,2000,89,knative_closed_loop,220516,0.9999954651816648,0.9999954651816648,0.0,0.34849171942171997,0.3413085671787988,187.18800000000056,361.79699999999866,physical_compute_queue_plus_platform_v1,224,0.09375,75264,0,5,0,0,0.0,0.0,5,66.53765848613345,138.98014999895145,1399.6258999977726,16.703452499905325,53.93395999972196,108.23560000062571,46.81620249994012,94.22032999982547,145.4383999989659,0.0,1399.6258999977726,138.9598999989173,2.3800825625585276,3.6500090991466987,80.37637387791649,212.51755620252908,2.442693417729997,568.4775102654303,2.2737367544323206e-13,44.43611993738159,91.45192859778032,408,3,3,454.781912,0
2000,2000,87,knative_replay,598817,0.9493100563277261,0.9438092104933561,-0.0055008458343700495,0.2891851767735385,0.2891851767735385,843.0149999999999,839.9220000000005,physical_compute_queue_plus_platform_v1,584,0.0,173169,20558,16,2,2,0.0,0.0,16,142.6732308935211,395.5654000004873,1904.7891999998683,72.5040311827768,248.72314000022018,385.6894000000466,69.76452526879423,163.4389600007126,580.2379999986442,0.0,1904.7891999998683,395.5552000003078,2.708757628991612,4.417853000177274,79.00451968814168,652.0086346876526,2.956715002285041,1108.7462225579861,1.8189894035458565e-12,67.05576763980262,159.22380399970282,820,6,4,934.425847,0
2000,2000,87,knative_closed_loop,598817,0.9493100563277261,0.9873083095503301,0.03799825322260397,0.2891851767735385,0.2665789381396988,843.0149999999999,776.469000000001,physical_compute_queue_plus_platform_v1,584,0.1797945205479452,159632,780,9,0,0,0.0,0.0,9,104.95088742107322,229.2745450003164,1850.713400001041,41.7911523489714,116.78469000016766,191.48780000068655,60.85739463092892,122.46363999929589,140.1043000005302,0.0,1850.713400001041,229.26189000045264,2.4047990603583993,3.705909999553114,83.29208973966837,304.0056638068161,2.3857490432308337,728.7360138151803,9.094947017729282e-13,58.45259557057052,119.83076944979977,773,4,4,868.381434,0
2000,2000,88,knative_replay,579349,0.9878864035322404,0.9847950026667863,-0.003091400865454119,0.3216731193115031,0.3216731193115031,792.2179999999998,808.8119999999999,physical_compute_queue_plus_platform_v1,551,0.0,186361,4338,11,0,0,0.0,0.0,11,119.05096140072301,265.9253000001627,1289.2836000009993,56.12224864854471,139.49099999990722,360.836300000301,73.45577513514326,134.85670000045502,192.32740000006743,0.0,1289.2836000009993,265.9239500005242,2.579347037848296,4.3452678011817625,80.20595358858674,468.3902116396941,2.451667693347667,888.0909506573848,1.8189894035458565e-12,70.87642809729496,132.13539000025776,799,5,4,901.052483,0
2000,2000,88,knative_closed_loop,579349,0.9878864035322404,0.9942935950523778,0.006407191520137356,0.3216731193115031,0.31261985435376605,792.2179999999998,831.8590000000004,physical_compute_queue_plus_platform_v1,551,0.10163339382940109,181116,807,10,0,0,0.0,0.0,10,119.43449011406331,269.398199999614,1472.3188999978447,52.83081451623104,134.3657750003331,223.39280000051076,72.65526559146359,143.71357499931037,219.12960000008752,0.0,1472.3188999978447,269.3921249997402,2.5245162310985965,4.007142749742343,81.62733846560816,356.24191592688544,2.5866903119704663,772.9863663418139,9.094947017729282e-13,70.130749360365,140.46995950002383,815,6,4,924.727496,0
